Code,FreeText
MIC-GAI-BST-002,"DocControl Scope"
MIC-GAI-LLN-001,"Coding Lessons Learnt"
JAS-HLT-FRM-001,"Blood Test Request"
JAS-GFT-INV-001,"Carver Space Case Surfskate Skateboard $378.00"
MIC-JOB-INV-009,"iPad 11th Generation W1497563928 $559.00"
MIC-EDU-INV-001,"iPad 11th Generation W1497563928 $559.00"
MIC-EDU-CRT-001,"Defensive Driving"
KHL-EDU-CRT-003,"Merit Certificate"
KHL-EDU-CRT-002,"Merit Certificate"
KHL-EDU-CRT-001,"Merit Certificate"
JAS-EDU-CRT-004,"Diploma of Procurement and Contracting"
JAS-EDU-CRT-003,"Rossmoyne Primary Awesomeness"
JAS-EDU-CRT-002,"Microsoft Excel 2010 Advanced"
JAS-EDU-CRT-001,"SAI Global Lead Auditor in Quality Management Systems"
DSF-FIN-LTR-002,"FANG Dividends Bank Details"
DSF-FIN-LTR-001,"FANG Welcome"
DSF-FIN-CSV-005,"Swyftx FY2025-26"
DSF-FIN-CSV-004,"CommBank FY2025-26"
DSF-FIN-CSV-003,"Suncorp Saver FY2024-25"
DSF-FIN-CSV-002,"Swyftx FY2024-25"
DSF-FIN-CSV-001,"CommBank FY2024-25"
DSF-FIN-VIS-003,"SUI Ledger Balance 30 June 2025"
DSF-FIN-VIS-002,"AVAX Ledger Balance 30 June 2025"
DSF-FIN-VIS-001,"BTC Ledger Balance 30 June 2025"
MIC-GOV-LBD-001,"Statutory Declaration 30 June 2025 DSF Balance"
DSF-FIN-INV-006,"INV19346 PFS Accountant Fees $2975.00"
DSF-FIN-RPT-006,"Koinly Complete Tax Report"
JAS-JOB-CNT-001,"PTA SBS Contract Support Officer"
JAS-KYC-DRL-002,"Driver's Licence Front Photo"
MIC-KYC-DRL-002,"Driver's Licence Front Photo"
JAS-KYC-POA-002,"CommBank 202510"
MIC-KYC-POA-002,"Kleenheat Utility Bill 202509"
JAS-KYC-POA-001,"Centrelink Letter"
DSF-GOV-MOM-005,"Kraken Account Creation"
DSF-GOV-MOM-004,"Suncorp Bank"
DSF-GOV-MOM-003,"Alternative Banks"
DSF-GOV-MOM-002,"Seedphrase Backup"
DSF-GOV-MOM-001,"Acceptance of Members"
DSF-MNT-LTR-001,"Kraken Account Creation"
MIC-GAI-RPT-009,"Crypto Exchanges Comparison"
DSF-FIN-RPT-005,"SMSF SAR pe June 2025"
DSF-FIN-RCT-004,"SMSF Rollover Jasmine Lee"
DSF-FIN-RCT-003,"SMSF Rollover Michael Delpach"
DSF-FIN-RCT-002,"SMSF Rollover Michael Delpach"
DSF-FIN-RCT-001,"SMSF Rollover Michael Delpach"
DSF-FIN-RPT-004,"SMSF Contribution Summary"
DSF-FIN-RPT-003,"Jasmine Lee Contribution Summary"
DSF-BNK-STA-009,"Suncorp Tx Oct 2025"
DFS-BNK-STA-003,"Suncorp Sep 2025"
DSF-FIN-CNT-001,"FANG 269 shares $10000"
